Gold,Silver 
60860,76600
60430,76300
60760,76600
61310,77350
61200,78000
61800,79600
61040,78500
61030,78500
60920,78500
61150,77400
60930,77600
61150,77400
60820,77600
60790,76900
60710,76900
60930,76400
61040,76700
61040,76500
60820,76500
60930,76200
60930,76200
60760,76200
60760,76000
61640,76100
62180,76800
62400,77100
61640,78250
61630,77700
61750,77700
61850,78100
61850,78100
62130,78000
62130,77600
61690,75000
61800,74800
61800,74800
61910,74800
61420,75100
61200,74600
60870,74500
61420,74300
61420,75300
61410,75300
61100,75000
61360,74500
60870,74050
60410,73050
60600,72900
60600,73000
60600,73000
60490,72600
60930,76800
60760,72800
61100,73400
60330,73000
60330,73000
60330,73500
60650,73500
60650,73400
60220,74500
60650,74600
